"Id","Parameter","Enhet","Enhet (Standard)","Faktor (Standard)","Enhet (Alternativ)","Faktor (Alternativ)","Antal värdesiffror"
"248","CODCr","mg/l O2","mg/l O2","1,000000000000","","",""
"158","CODMn","mg/l","mg/l O2","1,000000000000","","",""
"239","CODMn","mg/l O2","mg/l O2","1,000000000000","","",""
"14","Cr","µg/l","µg/l","1,000000000000","","",""
"133","Cr","mg/l","µg/l","1000,000000000000","","",""
"260","Cr6","µg/l","µg/l","1,000000000000","","",""
"284","Cr6","mg/l","µg/l","1000,000000000000","","",""
"106","Cr_F","µg/l","µg/l","1,000000000000","","",""
"215","Cr_F","mg/l","µg/l","1000,000000000000","","",""
"15","Cu","µg/l","µg/l","1,000000000000","","",""
"134","Cu","mg/l","µg/l","1000,000000000000","","",""
"105","Cu_F","µg/l","µg/l","1,000000000000","","",""
"183","Cu_F","mg/l","µg/l","1000,000000000000","","",""
"325","Dibenso(a,h)antracen","µg/l","µg/l","1,000000000000","","",""
"366","Dibenso(a,h)antracen","ng/l","µg/l","0,001000000000","","",""
"58","DOC","mg/l","mg/l C","1,000000000000","","",""
"205","DOC","mg/l C","mg/l C","1,000000000000","","",""
"242","Etylenglykol","mg/l","mg/l","1,000000000000","","",""
"18","F","mg/l","mg/l","1,000000000000","mekv/l","0,052631579000",""
"78","F","mekv/l","mg/l","19,000000000000","mekv/l","1,000000000000",""
"17","Fe","µg/l","µg/l","1,000000000000","","",""
"64","Fe","mg/l","µg/l","1000,000000000000","","",""
"97","Fe_F","µg/l","µg/l","1,000000000000","","",""
"98","Fe_F","mg/l","µg/l","1000,000000000000","","",""
"316","Fenantren","µg/l","µg/l","1,000000000000","","",""
"367","Fenantren","ng/l","µg/l","0,001000000000","","",""
"59","Fenol","mg/l","µg/l","1000,000000000000","","",""
"65","Fenol","µg/l","µg/l","1,000000000000","","",""
"317","Fluoranten","µg/l","µg/l","1,000000000000","","",""
"368","Fluoranten","ng/l","µg/l","0,001000000000","","",""
"318","Fluoren","µg/l","µg/l","1,000000000000","","",""
"369","Fluoren","ng/l","µg/l","0,001000000000","","",""
"351","FOSA","ng/l","ng/l","1,000000000000","","",""
"16","Färgtal","mg Pt/l","mg Pt/l","1,000000000000","","",""
"60","GF","mg/l","mg/l","1,000000000000","","",""
"218","GR","mg/l","mg/l","1,000000000000","","",""
"270","H2S","mg/l","mg/l","1,000000000000","","",""
"387","H4PFUnDA","ng/l","ng/l","1,000000000000","","",""
"19","Hg","ng/l","ng/l","1,000000000000","","",""
"66","Hg","µg/l","ng/l","1000,000000000000","","",""
"259","Hg","mg/l","ng/l","1000000,000000000000","","",""
"175","Hg_F","ng/l","ng/l","1,000000000000","","",""
"224","Hg_F","µg/l","ng/l","1000,000000000000","","",""
"283","Hg_F","mg/l","ng/l","1000000,000000000000","","",""
"386","HPFHpA","ng/l","ng/l","1,000000000000","","",""
"319","Indeno(1,2,3-cd)pyren","µg/l","µg/l","1,000000000000","","",""
"370","Indeno(1,2,3-cd)pyren","ng/l","µg/l","0,001000000000","","",""
"20","K","mekv/l","mg/l","39,100000000000","mekv/l","1,000000000000",""
"67","K","mg/l","mg/l","1,000000000000","mekv/l","0,025570000000",""
"281","K_F","mg/l","mg/l","1,000000000000","","",""
"21","Kfyll","µg/l","µg/l","1,000000000000","","",""
"128","Kfyll","mg/m3","µg/l","1,000000000000","","",""
"22","Kjeld.-N","µg/l","µg/l N","1,000000000000","","",""
"68","Kjeld.-N","mg/l","µg/l N","1000,000000000000","","",""
"167","Kjeld.-N","µg/l N","µg/l N","1,000000000000","","",""
"23","KMnO4","mg/l","mg/l","1,000000000000","","",""
"191","Kond","mS/m","mS/m","1,000000000000","","",""
"291","Kond","µS/cm","µS/cm","1,000000000000","","",""
"193","Kond_20","mS/m","µS/cm","10,000000000000","","",""
"231","Kond_20","µS/cm","µS/cm","1,000000000000","","",""
"110","Kond_25","mS/m","mS/m","1,000000000000","","",""
"111","Kond_25","µS/cm","mS/m","0,100000000000","","",""
"326","Krysen","µg/l","µg/l","1,000000000000","","",""
"378","Krysen + Trifenylen","ng/l","µg/l","0,001000000000","","",""
"140","Li","mg/l","µg/l","1000,000000000000","","",""
